,Author,cm_tot,cm_min,cm_max,cm_avg,rd_tot,rd_min,rd_max,rd_avg,f_count,correct_author,grouping
0,Emmanuel Bernard,0.8004566693023724,-0.05657994389973805,-0.8362068366406543,-0.4234488509787506,0.6767533719984421,-0.7848248579062495,-0.5068456650552736,-0.8166927627113154,1.05221165762722,1,1
1,Kevin Pollet,-0.11860794416887546,-0.8553680873502918,-0.4670408217258904,-0.5880357612920896,0.007175660754472946,-0.8152595240209833,-0.45794587813351617,-0.42025182134734074,-0.11627752863309404,0,1
2,kevin pollet,-0.7987921711158693,-0.539537206329016,-1.5862713183150374,-1.1703470556973818,-0.7766307387909803,0.7340333483254058,-1.4701141594345912,-0.6649280444156909,-0.7270786941782582,0,1
3,Victor Rezende dos Santos,-0.7747318966614114,-0.7854628709290138,-1.6512975094546454,-1.4568578765597855,-0.6683653761856319,-0.42823593676414273,0.059049064028974606,-0.2574740400681683,-0.8067484114232797,0,1
4,Khalid Alqinyah,0.19945925024897468,0.7706174874036527,-0.15292025356610034,0.9294419111376511,-0.09470829509486632,0.3768200734482176,-0.6813781067569247,-0.24470558001910805,1.397447099022313,0,1
5,stawny,-0.6458862907208931,0.7706174874036527,-1.222672838976145,-0.1850481435739831,-0.7419677094031453,-0.4435144461715016,-1.9470702667911806,-1.233187432749675,-0.9660878459133224,0,1
6,Yoann Rodière,-0.6768500844885819,-0.868807324629633,-0.25877361845312624,-0.26747166391089855,-0.7317110060610549,-0.3701408591197127,-0.9332712008522357,-0.9112092983713199,-0.6474089769332368,0,1
7,marko.bekhta,-0.7898821141833267,-0.008621166384886352,-0.24373305486884395,0.01531903024552863,-0.8479655910685208,-0.3644593039385816,-0.7217645570191388,-1.2303983268505732,-0.8333049838382868,0,1
8,marko-bekhta,1.955949266259865,-0.6316370355470589,-0.0009499078213739163,0.1483124527978344,1.0847236366658433,-0.6973099320306382,-0.5068456650552736,-0.9913887372968163,1.60989967834237,0,1
9,Emmanuel Bernard,1.4262131926416945,0.8463188582844866,-0.1288887208549501,0.4500543670419826,0.851222371304962,-1.1114560150627333,-0.19593441520716984,-0.5667517285099664,1.0787682300422272,1,2
10,Kevin Pollet,-0.18775671877668806,-1.0358275484129722,0.40200213188219686,-0.7844448718658882,0.09687547523891242,-0.034895895306714136,-0.14703307200818008,-0.15989502563690824,-0.11627752863309404,0,2
11,kevin pollet,-0.7530831755058397,0.06522730594074734,-0.7174888061414121,-0.38452709093061815,-0.7407004793528381,1.0555165931241022,-1.0617349633357,-0.0337062789934909,-0.7270786941782582,0,2
12,Victor Rezende dos Santos,-0.7299106693931036,-0.5849030094751846,-0.8338680454694033,-0.952009775495641,-0.6671543020351829,-0.5782882518981599,-0.2525531794911784,-0.24353451587276448,-0.8067484114232797,0,2
13,Khalid Alqinyah,0.4790261207408131,1.3775321073532434,0.7149781143474007,1.8806804844502618,0.12422418020097226,1.4346597715201825,-0.37057553640642166,0.5165213915690055,1.397447099022313,0,2
14,stawny,-0.5841043143091434,1.3775321073532434,-0.6422326339501125,0.4659430063355968,-0.7219439154133087,-0.7827046201080484,-1.5919118504975889,-1.0175819065595255,-0.9660878459133224,0,2
15,Yoann Rodière,-0.721946289194515,-1.2341453964573286,-0.7696011258479767,-0.7935579039883244,-0.6944462370399749,-0.45233141996131476,-0.5042322865126316,-0.4669713899005018,-0.6474089769332368,0,2
16,marko.bekhta,-0.787241321852835,-0.9083814401180156,0.5798521019324503,0.0872023267020014,-0.8330518227977534,-0.11671643825440123,-0.4111447617495453,-0.8155576271185697,-0.8333049838382868,0,2
17,marko-bekhta,2.04696762681845,-0.8760349374027008,0.8675599088291192,0.24209990268567,1.3897406325303867,-0.809853866708256,-0.19593441520716984,-0.6702150257317373,1.636456250757377,0,2
18,Emmanuel Bernard,0.7784551197538477,-0.17761287360088343,-0.8157436389385065,-0.45416115459089706,0.9345708455126779,-0.5802362325612234,0.5098616481969437,-0.44734825898022873,1.0787682300422272,1,3
19,Kevin Pollet,-0.12204585624571106,-1.0689583235482247,-0.5782748291862749,-0.5978007536158484,0.0010479670858182036,-0.5125907332981311,0.5587629913959334,-0.43803766291051294,-0.11627752863309404,0,3
20,kevin pollet,-0.7984374382145725,-0.44532979763947134,-1.6972417694117357,-1.1642485581854933,-0.7052574094997729,-0.605614398325779,-0.43085340404025374,0.588956553796535,-0.7270786941782582,0,3
21,Victor Rezende dos Santos,-0.76776754776756,-0.636004697926535,-1.6917353456749902,-1.3784142789946843,-0.6307443555511193,0.6504308416975813,-0.06372056913483128,0.17554579376789609,-0.8067484114232797,0,3
22,Khalid Alqinyah,0.16735492743448938,0.8655628420747981,-0.26406136433685773,0.8202055406854196,0.32165114319827454,0.6018865054474358,0.33521974889020095,1.2029738191917032,1.397447099022313,0,3
23,stawny,-0.6362211558404958,0.8655628420747981,-1.1318691257023301,-0.08320748331591396,-0.6717442553667214,-0.7306213411504462,-0.9304909164838694,-0.4770587607258897,-0.9660878459133224,0,3
24,Yoann Rodière,-0.6701985356972952,-0.9358060458369386,-0.14769701797929402,-0.1898755930859129,-0.6465247631749246,-0.11899351177148555,0.09241063700161174,0.10430641162313997,-0.6474089769332368,0,3
25,marko.bekhta,-0.7899007207935703,-0.1282179607037331,-0.14769701797929402,0.014812551767552421,-0.7960977045118768,0.9462989921166525,0.29475670396432296,0.2123564459290144,-0.8333049838382868,0,3
26,marko-bekhta,1.9836929139951078,-0.764607291962487,-0.11202404196568484,0.1769001570336241,1.9107012061639492,-0.48540400930088107,0.5098616481969437,-0.12165922955810439,1.636456250757377,0,3
27,Emmanuel Bernard,0.5680542865095706,-0.25261350234405106,-1.2996588557520445,-0.7478629348493818,1.0603853639743306,-0.7138719723654657,0.40609776758653837,-0.26710872653123674,1.05221165762722,1,4
28,Kevin Pollet,0.10503726154215544,-0.4318315279366296,0.137365383567154,0.04720262415911882,-0.06203151269543611,-0.16962729645743516,0.45503117097157647,-0.6211280218518637,-0.11627752863309404,0,4
29,kevin pollet,-0.8031890917721762,-0.35712229361955083,-2.0721309932545426,-1.245938041434621,-0.7058274139108442,2.280133119156252,-0.5912706931960211,0.5789427326808163,-0.7270786941782582,0,4
30,Victor Rezende dos Santos,-0.7163290689054513,0.11267996105663357,-1.4921548530291484,-0.7990321433893638,-0.5849990271653702,1.8201051477428427,-0.1682332291670005,0.7020768171766884,-0.8067484114232797,0,4
31,Khalid Alqinyah,-0.07880966283878886,0.630292128354305,-1.0524640663420604,-0.01738030501825754,0.21986580338369396,-0.13364592534906244,0.23151532771071692,0.8490667714847779,1.397447099022313,0,4
32,stawny,-0.6601709655957169,0.630292128354305,-1.356877021079585,-0.33556448285181606,-0.6290043687320751,1.200671642011575,-0.7335673730954346,-0.016858473415330023,-0.9660878459133224,0,4
33,Yoann Rodière,-0.6068362920830881,-0.5835735248235896,0.6428596470010358,0.5492997925864513,-0.6442432412246437,0.05431111964316403,-0.020134649446355835,0.13150471624028925,-0.6474089769332368,0,4
34,marko.bekhta,-0.7803099936482042,0.5097765419443102,0.6428596470010358,0.2758755193713598,-0.7852675200979842,1.7229747760837995,0.1914256200658376,0.5136083628769396,-0.8333049838382868,0,4
35,marko-bekhta,2.2517649242629725,-0.1950022495145505,0.6428596470010358,0.4531278332413147,2.176342073265808,-0.5533551298699201,0.40609776758653837,0.1580526041665945,1.636456250757377,0,4
36,Emmanuel Bernard,0.48331364472999394,-0.36401896501303915,-1.3329382469662883,-0.8661537085461494,0.9680539985671535,-1.0735036280753019,0.48107866947083433,-0.3993809184439604,1.05221165762722,1,5
37,Kevin Pollet,0.109559583697089,-0.5423832017994087,0.23153760617734184,0.06004775810713467,-0.09805197718828462,-0.3433817825033282,0.5300578193905663,-0.7256786585422709,-0.11627752863309404,0,5
38,kevin pollet,-0.8071778208109445,-0.46178297580797456,-2.1049430384207217,-1.3145114780388893,-0.7012122039154965,2.106819611896051,-0.5166596419782672,0.6600226092698792,-0.7270786941782582,0,5
39,Victor Rezende dos Santos,-0.7159212622390627,0.07188251433483954,-1.5477002247827036,-0.7944387747184177,-0.5952225212249709,1.2682857066014896,-0.09327457413386255,0.5844038879406587,-0.8067484114232797,0,5
40,Khalid Alqinyah,-0.09773436564454412,0.595494833308141,-1.1111922246304513,-0.08177243869862386,0.2518196871680667,-0.24957205872894728,0.30647386126546505,0.9601702436891049,1.397447099022313,0,5
41,stawny,-0.6637132194664729,0.595494833308141,-1.3901564122938292,-0.3728888945091379,-0.6391012402896105,0.9294775119745874,-0.9241161517967206,-0.1255761972463733,-0.9660878459133224,0,5
42,Yoann Rodière,-0.6002563351798773,-0.5815293474546169,0.7375759228929355,0.6260606821037552,-0.6549741324199034,-0.26695251965144196,0.05487113031301545,0.00358043854213705,-0.6474089769332368,0,5
43,marko.bekhta,-0.780148118869958,0.4211486757087372,0.7375759228929355,0.28028180779439893,-0.7922690849929617,1.0823615460221667,0.2663936629989929,0.3188531522877646,-0.8333049838382868,0,5
44,marko-bekhta,2.2390938729037257,-0.22567108830712107,0.7375759228929355,0.4400712852317863,2.0505111406659617,-0.9688445859938128,0.48107866947083433,0.02555642132852177,1.636456250757377,0,5
45,Emmanuel Bernard,0.5495974752060513,-0.35685034834089707,-1.2493953123318218,-0.7736270834706306,0.8209128311506447,-0.5822451266419459,0.08431026208514468,-0.6101726103998675,1.05221165762722,1,6
46,Kevin Pollet,0.07484057167229863,-0.5347138229074272,0.135943264528567,-0.03856758700151818,-0.07074631818177943,0.09221379421871263,0.13341184628804642,-0.6464230444191356,-0.11627752863309404,0,6
